,btc_ma200_flag,drawdown_pct,dvol_zscore,realized_vol_30d,ret_1d,ret_20d,ret_5d,term_spread,vol_ratio,volume_momentum
btc_ma200_flag,0.0,0.978824668182944,0.9989918135235625,0.9974752702021105,0.9991372962694142,0.9937891103990307,0.9978685987694484,0.9579317039660539,0.9998259731308802,0.9996985597803026
drawdown_pct,0.978824668182944,0.0,0.9916093062599185,0.9848681243445149,0.9967543552156111,0.9690241120747255,0.9898795001544559,0.8931191645335677,0.9993153015241657,0.9975965521170975
dvol_zscore,0.9989918135235625,0.9916093062599185,0.0,0.9814004382673295,0.9913406400283783,0.9771762362103653,0.9889326071199162,0.9923122066294522,0.9845834635189368,0.9760128246695535
realized_vol_30d,0.9974752702021105,0.9848681243445149,0.9814004382673295,0.0,0.9829668471719154,0.9680231160070678,0.9798628131465748,0.9741079632398515,0.9970987694828585,0.995515976473031
ret_1d,0.9991372962694142,0.9967543552156111,0.9913406400283783,0.9829668471719154,0.0,0.9894805218088657,0.97251730389102,0.9966015230933873,0.9891787874651301,0.9960198488976337
ret_20d,0.9937891103990307,0.9690241120747255,0.9771762362103653,0.9680231160070678,0.9894805218088657,0.0,0.9670406180138702,0.9897751926295606,0.9965174608708188,0.9868570454531772
ret_5d,0.9978685987694484,0.9898795001544559,0.9889326071199162,0.9798628131465748,0.97251730389102,0.9670406180138702,0.0,0.9949274806507613,0.9925379338100673,0.9836466920808479
term_spread,0.9579317039660539,0.8931191645335677,0.9923122066294522,0.9741079632398515,0.9966015230933873,0.9897751926295606,0.9949274806507613,0.0,0.9990972620209265,0.9972108614570339
vol_ratio,0.9998259731308802,0.9993153015241657,0.9845834635189368,0.9970987694828585,0.9891787874651301,0.9965174608708188,0.9925379338100673,0.9990972620209265,0.0,0.9517676429061228
volume_momentum,0.9996985597803026,0.9975965521170975,0.9760128246695535,0.995515976473031,0.9960198488976337,0.9868570454531772,0.9836466920808479,0.9972108614570339,0.9517676429061228,0.0
