"theme","requirement","documentary_source","code_or_artifact_evidence","status","risk","recommendation"
"Governance","PR branch must remain draft and not merged","sniper-gate-governance; autonomous closure docs","GitHub PR #1 open draft, merged=false, base codex/openclaw-sniper-handoff, head codex/autonomous-sniper-implementation","SATISFATORIO","Low if draft status is preserved","Keep PR as draft governance/reproducibility review only."
"Governance","No official promotion without explicit gate","SNIPER_openclaw_handoff.md; gate reports","Latest gate records phase4_promotion_status=BLOCKED_DSR_HONEST_ZERO and no promotion commit exists","SATISFATORIO","High if reviewer confuses reproducibility with readiness","Keep promotion blocked while dsr_honest=0.0 and CVaR zero exposure."
"Governance","A3/A4 must not be reopened without strong evidence","SNIPER_openclaw_handoff.md","Gate reports and PR summary state A3/A4 not reopened","SATISFATORIO","High if old line is reactivated by convenience","Do not reopen A3/A4 in this PR."
"Governance","RiskLabAI remains oracle/shadow","SNIPER_openclaw_handoff.md; closure docs","PR summary states RiskLabAI remained oracle/shadow; no official promotion found","SATISFATORIO","Medium if external oracle is treated as official","Keep RiskLabAI out of official path."
"Governance","Fast path remains official while cross-sectional remains research/non-promotable","SNIPER_openclaw_handoff.md","Closure docs preserve fast path official and cross-sectional ALIVE_BUT_NOT_PROMOTABLE","SATISFATORIO","High if research output is reclassified implicitly","Do not change official/research taxonomy in this PR."
"Reproducibility","Clean regeneration must use clean clone or equivalent","SNIPER_regeneration_guide.md; phase6 gate report","phase6_research_baseline_rehydration_clean_regeneration_gate/clean_regeneration_report.json has clean_clone_or_equivalent=true, returncode=0, phase5_clean_gate_status=PASS","SATISFATORIO","Low for this gate; future runs still need same proof","Keep the clean regeneration report as primary Phase 6 evidence."
"Reproducibility","Phase 4 official artifacts required for preflight","SNIPER_regeneration_guide.md","phase4_artifact_integrity_report.json lists all required Phase4 artifacts exists=true with hashes","SATISFATORIO","Medium because data/models is ignored/external","Require copied/provided artifacts and hashes for any rerun."
"Reproducibility","Research baseline artifacts required for restore","SNIPER_regeneration_guide.md","clean_regeneration_preflight.json reports missing_regeneration_baseline_artifacts=[]","SATISFATORIO","Medium because research baseline is ignored/external","Do not fabricate artifacts; verify expected paths before rerun."
"Gate packs","Every Phase6 gate must provide required report files","sniper-gate-governance","reports/gates/phase6_* contain gate_report.json, gate_report.md, gate_manifest.json, and gate_metrics.parquet where produced","SATISFATORIO","Low","Keep gate pack convention unchanged."
"Source-document alignment","Phase 4-R4 module documentation must match tracked source","SNIPER_memoria_especificacao_controle_fase4R_v3.md","source_doc_alignment.json reports status=ALIGNED and missing_documented_modules=[]","SATISFATORIO","Low after Phase6 correction","Preserve explicit historical-only markers where modules are not current source."
"DSR","Honest DSR must pass before promotion","SNIPER_memoria_especificacao_controle_fase4R_v3.md; phase4_artifact_integrity_report.json","dsr_honest=0.0, dsr_passed=false, check DSR honesto > 0.95 false","PARCIAL","Critical promotion blocker","Do not promote; either freeze or open separate research-only thesis."
"CPCV/PBO","CPCV/PBO gate must be materialized","SNIPER_memoria_especificacao_controle_fase4R_v3.md","phase4_artifact_integrity_report.json reports CPCV PBO < 10% true","SATISFATORIO","Medium because PBO alone does not override DSR","Keep PBO as supporting evidence only."
"N_eff","N_eff threshold must be materialized","SNIPER_memoria_especificacao_controle_fase4R_v3.md","phase4_artifact_integrity_report.json reports N_eff >= 120 true","SATISFATORIO","Medium because N_eff does not override DSR","Keep as gate component, not promotion basis alone."
"Calibration","ECE threshold must be materialized","SNIPER_memoria_especificacao_controle_fase4R_v3.md","phase4_artifact_integrity_report.json reports ECE < 0.05 true","SATISFATORIO","Medium because calibration pass does not override DSR","Keep calibration evidence but preserve DSR blocker."
"CVaR","CVaR must prove economic robustness under exposure","SNIPER_v10.10 spec family; phase6 gate reports","portfolio_cvar_report.json has positions={}, n_positions=0, total_exposure_pct=0.0, PASS_ZERO_EXPOSURE","PARCIAL","Critical: zero exposure can be mistaken for robustness","Label as technical persistence only until nonzero exposure or approved stress artifact exists."
