,basis_3m,btc_ma200_flag,dvol_zscore,funding_rate_ma7d,realized_vol_30d,ret_1d,ret_20d,ret_5d,stablecoin_chg30,unlock_pressure_rank,vol_ratio
basis_3m,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
btc_ma200_flag,1.0,0.0,0.9989918135235625,1.0,0.9974752702021105,0.9991372962694142,0.9937891103990307,0.9978685987694484,1.0,1.0,0.9998259731308802
dvol_zscore,1.0,0.9989918135235625,0.0,1.0,0.9814004382673295,0.9913406400283783,0.9771762362103653,0.9889326071199162,1.0,1.0,0.9845834635189368
funding_rate_ma7d,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
realized_vol_30d,1.0,0.9974752702021105,0.9814004382673295,1.0,0.0,0.9829668471719154,0.9680231160070678,0.9798628131465748,1.0,1.0,0.9970987694828585
ret_1d,1.0,0.9991372962694142,0.9913406400283783,1.0,0.9829668471719154,0.0,0.9894805218088657,0.97251730389102,1.0,1.0,0.9891787874651301
ret_20d,1.0,0.9937891103990307,0.9771762362103653,1.0,0.9680231160070678,0.9894805218088657,0.0,0.9670406180138702,1.0,1.0,0.9965174608708188
ret_5d,1.0,0.9978685987694484,0.9889326071199162,1.0,0.9798628131465748,0.97251730389102,0.9670406180138702,0.0,1.0,1.0,0.9925379338100673
stablecoin_chg30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
unlock_pressure_rank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
vol_ratio,1.0,0.9998259731308802,0.9845834635189368,1.0,0.9970987694828585,0.9891787874651301,0.9965174608708188,0.9925379338100673,1.0,1.0,0.0
